english,japanese,type,grade
egg,卵,noun,1
bag,カバン,noun,1
rose,バラ,noun,1
chair,いす,noun,1
bat,バット,noun,1
fish,魚,noun,1
notebook,ノート,noun,1
pencil,鉛筆,noun,1
dog,犬,noun,1
desk,机,noun,1
watch,腕時計,noun,1
mitt,ミット,noun,1
milk,牛乳,noun,1
flower,花,noun,1
door,ドア,noun,1
boat,ボート,noun,1
piano,ピアノ,noun,1
orange,オレンジ,noun,1
bird,鳥,noun,1
sheep,羊,noun,1
cup,カップ,noun,1
bus,バス,noun,1
apple,りんご,noun,1
fruit,果物,noun,1
car,自動車,noun,1
cake,ケーキ,noun,1
picture,絵，写真,noun,1
cat,猫,noun,1
stamp,切手,noun,1
plane,飛行機,noun,1
book,本,noun,1
racket,ラケット,noun,1
glass,コップ，ガラス,noun,1
bed,ベッド,noun,1
letter,手紙,noun,1
tape,テープ,noun,1
cap,帽子,noun,1
mail,郵便,noun,1
box,箱,noun,1
bread,パン,noun,1
doll,人形,noun,1
table,テーブル,noun,1
tree,木,noun,1
pen,ペン,noun,1
map,地図,noun,1
cow,雌牛,noun,1
pot,ポット,noun,1
camera,カメラ,noun,1
hand,手,noun,1
lemon,レモン,noun,1
yard,中庭,noun,1
bank,銀行，土手,noun,1
library,図書館,noun,1
hospital,病院,noun,1
hotel,ホテル,noun,1
village,村,noun,1
kitchen,台所,noun,1
wall,壁,noun,1
park,公園,noun,1
girl,少女,noun,1
father,父,noun,1
doctor,医者,noun,1
pilot,パイロット,noun,1
man,男の人,noun,1
cook,料理人,noun,1
sister,姉妹,noun,1
mother,母,noun,1
city,市，都会,noun,1
window,窓,noun,1
church,教会,noun,1
school,学校,noun,1
country,国，いなか，地方,noun,1
office,事務所,noun,1
garden,庭,noun,1
town,町,noun,1
brother,兄弟,noun,1
woman,女性,noun,1
citizen,市民,noun,1
parent,親,noun,1
student,学生,noun,1
clerk,店員,noun,1
family,家族,noun,1
teacher,先生,noun,1
player,選手，演奏者,noun,1
floor,床，階,noun,1
store,店,noun,1
station,駅,noun,1
house,家,noun,1
field,野原，競技場,noun,1
Japan,日本,noun,1
gate,門,noun,1
room,部屋,noun,1
aunt,おば,noun,1
boy,少年,noun,1
son,息子,noun,1
nurse,看護婦,noun,1
friend,友人,noun,1
uncle,おじ,noun,1
singer,歌手,noun,1
daughter,娘,noun,1
evening,晩,noun,1
morning,朝,noun,1
night,夜,noun,1
noon,正午,noun,1
tomorrow,明日,noun,1
time,時，～回,noun,1
afternoon,午後,noun,1
diary,日記,noun,1
meal,食事,noun,1
breakfast,朝食,noun,1
lunch,昼食,noun,1
dinner,夕食,noun,1
supper,夕食,noun,1
walk,散歩,noun,1
work,仕事，作品,noun,1
basketball,バスケットボール,noun,1
baseball,野球,noun,1
tennis,テニス,noun,1
homework,宿題,noun,1
season,季節,noun,1
spring,春,noun,1
summer,夏,noun,1
autumn,秋,noun,1
fall,秋,noun,1
winter,冬,noun,1
minute,分，ちょっとの間,noun,1
week,週,noun,1
month,月,noun,1
year,年,noun,1
hour,時間,noun,1
day,日,noun,1
January,１月,noun,1
February,２月,noun,1
March,３月,noun,1
April,４月,noun,1
May,５月,noun,1
June,６月,noun,1
July,７月,noun,1
August,８月,noun,1
September,９月,noun,1
October,１０月,noun,1
November,１１月,noun,1
December,１２月,noun,1
Sunday,日曜日,noun,1
Monday,月曜日,noun,1
Tuesday,火曜日,noun,1
Wednesday,水曜日,noun,1
Thursday,木曜日,noun,1
Friday,金曜日,noun,1
Saturday,土曜日,noun,1
like,好む,verb,1
look,見る，～に見える,verb,1
read,読む,verb,1
drink,飲む,verb,1
walk,歩く,verb,1
wash,洗う,verb,1
run,走る,verb,1
stop,止める，止まる,verb,1
have,持っている，食べる,verb,1
wait,待つ,verb,1
collect,集める,verb,1
send,送る,verb,1
come,来る,verb,1
want,欲しい,verb,1
do,する,verb,1
make,作る，～を～にする,verb,1
ride,乗る,verb,1
enjoy,楽しむ,verb,1
play,遊ぶ，(スポーツを)をする，演奏する,verb,1
sing,歌う,verb,1
speak,話す,verb,1
cook,料理する,verb,1
swim,泳ぐ,verb,1
write,書く，手紙を書く,verb,1
catch,捕まえる，(列車に)間に合う,verb,1
open,開ける,verb,1
move,動く，感動させる,verb,1
help,助ける,verb,1
buy,買う,verb,1
leave,去る，残す，置いて行く,verb,1
meet,会う,verb,1
live,住む，生きる,verb,1
work,働く,verb,1
go,行く,verb,1
know,知っている,verb,1
study,勉強する,verb,1
eat,食べる,verb,1
learn,学ぶ，覚える,verb,1
stand,立つ,verb,1
dance,踊る,verb,1
sell,売る,verb,1
arrive,到着する,verb,1
get,得る，着く，乗る,verb,1
put,置く,verb,1
stay,滞在する,verb,1
try,試す,verb,1
give,与える，(会などを)開く,verb,1
use,使う,verb,1
visit,訪問する,verb,1
need,必要とする,verb,1
sad,悲しい,verb,1
high,高い,verb,1
slow,遅い,verb,1
nice,すばらしい,verb,1
these,これらの,verb,1
all,すべての,verb,1
that,あの,verb,1
red,赤い,verb,1
green,緑の,verb,1
strong,強い，じょうぶな,verb,1
big,大きい,verb,1
fine,すばらしい，元気な，晴れた,verb,1
happy,幸福な，楽しい,adjective,1
busy,忙しい,adjective,1
sorry,残念な,adjective,1
honest,正直な,adjective,1
poor,貧乏な，かわいそうな，不十分な,adjective,1
later,後で,adjective,1
soon,すぐに,adjective,1
yesterday,昨日,adjective,1
o'clock,～時,adjective,1
already,すでに,adjective,1
up,上へ,adjective,1
there,そこに,adjective,1
well,よく，じょうずに,adjective,1
so,そんなに,adjective,1
slowly,ゆっくりと,adjective,1
yet,まだ(～でない),adjective,1
why,なぜ,adjective,1
best,一番良い,adjective,1
bad,悪い,adjective,1
clean,きれいな,adjective,1
fast,速い,adjective,1
large,大きい，広い,adjective,1
easy,やさしい，気楽に,adjective,1
tall,背の高い,adjective,1
some,いくつかの,adjective,1
early,早い,adjective,1
this,この,adjective,1
those,あれらの,adjective,1
warm,温暖な,adjective,1
cool,涼しい,adjective,1
new,新しい,adjective,1
short,短い，背が低い,adjective,1
little,小さい，幼い，ちょっとした,adjective,1
dark,暗い，黒い,adjective,1
old,年をとった，古い,adjective,1
careful,注意深い,adjective,1
junior,年下の，下級の,adjective,1
hungry,空腹の,adjective,1
ill,病気の,adjective,1
